commit	val_bpb	status	description
h100proxy-sp16384-sc-v2-sdpa-masked-head-tmin015-8400s	1.4025	best-proxy	6L/768d SP16384 (60.6M) + sc v2 + SDPA + seq=512 + masked-only head/CE refactor + T_MIN 0.10→0.15 (bundled: masked-only never tested before; T_MIN=0.15 never cleanly landed before due to 8L confound). 8400s 2xRTX5080, 4095 steps (+18% vs prior 3483 at same eff batch). Refactor: DiffusionLM split into forward_hidden() + project_logits(); training loss projects only at masked positions via masked_ce_loss(model, h, tokens, mask); sc v2 teacher projects only at masked positions via masked_sc_emb(); unmasked rows skip out_head+softcap+CE entirely. Per-t: t0.05=1.23 | t0.1=1.58 | t0.2=2.05 | t0.3=2.47 | t0.5=3.78 | t0.7=5.80 | t0.9=7.18 | final_smooth_loss 0.4548. -0.0706 BPB vs prior best 1.4731 (huge). Attribution: +18% step count explains some (SDPA precedent says +40% steps gave -0.032, so +18% predicts -0.015); the remaining -0.055 is T_MIN=0.15 reallocation effect. SURPRISE FINDING: low-t eval CE IMPROVED (t=0.05 2.69→1.23, t=0.1 2.44→1.58) DESPITE model no longer training at t<0.15. Prior hypothesis ("eval will degrade below T_MIN") refuted. Mechanism: cutting low-t waste frees gradient for mid-t trunk representations; better trunk means better bidirectional context processing; low-t eval (predict few masked tokens given lots of unmasked context) is really a context-processing task, not a mask-specific one, so better trunk helps there too. Code correctness verified: tokens index uses original (not masked_tokens), DDP allreduce still covers out_head via parameter hooks, training loss math is bit-equivalent to old (mask-weighted full CE → mean over masked positions).
h100proxy-safe-bundle-8400s	1.3992	best-proxy	6L/768d SP16384 + sc v2 + SDPA + masked-only + T_MIN=0.15 + "safe bundle" (5 throughput patches): (1) RoPE cos/sin cast to x.dtype inside _apply_rope — stops fp32 promotion of Q/K under bf16 autocast, (2) t_bias inlined (t_value * t_embed.weight[:,0] + bias) — skips 1×1 tensor allocation + tiny Linear dispatch per forward, (3) DDP broadcast_buffers=False + gradient_as_bucket_view=True — stops per-forward buffer broadcast, avoids gradient-bucket copies, (4) CPU-deterministic alpha sampling via random.Random(seed) — drops per-microbatch NCCL broadcast + .item() sync, (5) Muon in-place buffer updates (buf.mul_(β).add_(g)) — compatible with gradient_as_bucket_view, avoids buffer replacement per step. 8400s 2xRTX5080, 4438 steps (+8.4% vs prior 4095). Per-t: t0.05=0.92 | t0.1=1.58 | t0.2=1.95 | t0.3=2.37 | t0.5=3.88 | t0.7=5.87 | t0.9=7.17 | final_smooth_loss 0.4542. -0.0033 BPB vs 1.4025 — within noise calibration (±0.001) plus marginal step-count gain. All 5 changes math-neutral; net throughput gain confirmed in expected 5-10% range.
h100proxy-fixed-k-idx-8400s	1.3963	best-proxy	6L/768d SP16384 + full prior stack + fixed-K masked indices (replaces Bernoulli mask = rand<p + mask.nonzero() with randperm(N)[:K] where K=round(mask_prob*N) is fixed per microbatch). Removes host-device sync from mask.nonzero() in masked_ce_loss/masked_sc_emb. 8400s 2xRTX5080, 4441 steps (0% throughput change vs 4438). Per-t: t0.05=2.29 | t0.1=1.77 | t0.2=1.91 | t0.3=2.43 | t0.5=3.72 | t0.7=5.79 | t0.9=7.20 | final_smooth_loss 0.4553. -0.0029 BPB. FINDING: nonzero() sync was not actually the bottleneck — review overestimated it. At 1.89s/step, 32 syncs × ~1ms = 32ms = 1.7% of step time; removing them + adding randperm overhead nets out. Kept the change anyway: (a) math is unbiased (E[K] = Bernoulli mean), (b) zero count variance improves gradient quality slightly (-0.003 BPB), (c) removes a class of dynamic-shape issues that would block torch.compile. Future throughput wins must come from elsewhere (Muon batched NS, grad-norm cadencing, or torch.compile).
h100proxy-tmin020-8400s	1.3624	best-proxy	6L/768d SP16384 + full prior stack + T_MIN 0.15→0.20 (single-line change). 8400s 2xRTX5080, 4404 steps (flat, sampler change not compute change). Per-t: t0.05=0.99 | t0.1=1.25 | t0.2=1.82 | t0.3=2.12 | t0.5=3.76 | t0.7=5.68 | t0.9=7.16 | final_smooth_loss 0.4375 (vs 0.4553 at T_MIN=0.15 — training fit markedly better at higher mask prob regime). -0.0339 BPB vs prior best 1.3963. Confirms the mechanism from T_MIN=0.15: cutting low-t training reallocates gradient to mid-t, which strengthens trunk representations, which helps even at untrained low-t eval (where task is context-processing not mask-specific). Per-t changes: t=0.05 2.29→0.99 (MASSIVE drop, eval regime not trained), t=0.1 1.77→1.25, t=0.2 1.91→1.82 (even this lowest-trained regime improved), t=0.3 2.43→2.12 (where BPB mass lives, big win), t=0.5-0.9 mostly flat/slightly better. T_MIN sweep: 0.10 baseline → 0.15 -0.055 BPB → 0.20 -0.034 BPB → curve still going, diminishing returns expected. Next test T_MIN=0.25.
h100proxy-tmin025-8400s	1.3423	best-proxy	6L/768d SP16384 + full prior stack + T_MIN 0.20→0.25. 8400s 2xRTX5080, 4372 steps. Per-t: t0.05=1.30 | t0.1=1.72 | t0.2=1.69 | t0.3=2.11 | t0.5=3.59 | t0.7=5.65 | t0.9=7.14 | final_smooth_loss 0.4348. -0.0201 BPB. Pattern shift: low-t eval starts breaking (t=0.1 1.25→1.72, +0.47 — first real low-t regression as we cut more training there) but mid-t gains dominate (t=0.5 3.76→3.59, t=0.2 1.82→1.69). The "free low-t" phenomenon is at its limit. Net BPB still wins because BPB weight at t<0.2 is small. T_MIN sweep: 0.10→0.15 -0.055; 0.15→0.20 -0.034; 0.20→0.25 -0.020. Geometric decay; next test T_MIN=0.30 expected to give -0.005 to -0.015 if curve holds, or first regression if low-t damage accelerates.
h100proxy-tmin030-8400s	1.3321	best-proxy	6L/768d SP16384 + full prior stack + T_MIN 0.25→0.30. 8400s 2xRTX5080, 4331 steps. Per-t: t0.05=1.50 | t0.1=1.49 | t0.2=1.65 | t0.3=1.94 | t0.5=3.62 | t0.7=5.59 | t0.9=7.15 | final_smooth_loss 0.4348. -0.0102 BPB. Sweep continues clean exponential decay (each step ≈ half prior gain). Per-t pattern: low-t "free lunch" actually returned slightly (t=0.1 1.72→1.49, t=0.2 1.69→1.65 — both untrained at T_MIN=0.30 but improved over T_MIN=0.25); mid-t mass region t=0.3 2.11→1.94 is the big driver of BPB win. t=0.5 stayed flat (3.59→3.62). Diagnosis: bidirectional trunk representations keep improving at the higher-mask training regime, which lifts ALL t eval; the "low-t damage from untraining" was a noise artifact at T_MIN=0.25, not a real ceiling.
h100proxy-tmin035-8400s	1.3319	noise	6L/768d SP16384 + full prior stack + T_MIN 0.30→0.35. 8400s 2xRTX5080, 4331 steps. Per-t: t0.05=1.53 | t0.1=1.51 | t0.2=1.64 | t0.3=1.90 | t0.5=3.59 | t0.7=5.61 | t0.9=7.15 | final_smooth_loss 0.4346. -0.0002 BPB vs T_MIN=0.30 — within noise calibration ±0.001. SATURATION POINT. T_MIN sweep summary: 0.10 (1.475 ish) → 0.15 -0.073 → 0.20 -0.040 → 0.25 -0.020 → 0.30 -0.010 → 0.35 ~0. Sweet spot is [0.30, 0.35]. Either equivalent for proxy BPB; keeping T_MIN=0.35 in code (current). Pivot to T_MAX next — same compute-reallocation mechanism from the high-t end. Per-t at T_MIN=0.30 vs 0.35 essentially identical: t=0.3 1.94→1.90 (slight), t=0.5 3.62→3.59 (slight), low-t and high-t flat. No useful asymmetry to prefer one over the other.
h100proxy-tmax055-8400s	1.3248	best-proxy	6L/768d SP16384 + full prior stack + T_MAX 0.60→0.55 (T_MIN held at 0.35). 8400s 2xRTX5080, 4335 steps. Per-t: t0.05=1.71 | t0.1=1.43 | t0.2=1.79 | t0.3=2.14 | t0.5=3.41 | t0.7=5.53 | t0.9=7.21 | final_smooth_loss 0.4332. -0.0071 BPB. Cuts top stratum [0.591, 0.655] alpha range, reallocates ~12% of training density alpha-uniformly across remaining range. Per-t pattern: t=0.5 won big (3.59→3.41, where BPB mass concentrates due to dalpha/dt × CE), t=0.3 regressed surprisingly (1.90→2.14, despite being deep in trained range — caused by stratum reshuffling pulling density UP toward t=0.45-0.55 from the t=0.3 regime). Net BPB win because t=0.5 BPB-weight dominates t=0.3 weight. Mid-mass reallocation lever works in the same diminishing-returns pattern as T_MIN.
h100proxy-tmax050-8400s	1.3284	worse	6L/768d SP16384 + full prior stack + T_MAX 0.55→0.50 (T_MIN=0.35). 8400s 2xRTX5080, 4385 steps. Per-t: t0.05=1.28 | t0.1=1.70 | t0.2=1.78 | t0.3=1.88 | t0.5=3.52 | t0.7=5.54 | t0.9=7.21 | final_smooth_loss 0.4335. +0.0036 BPB vs T_MAX=0.55 best 1.3248. Boundary effect: t=0.5 became the train/eval boundary and regressed 3.41→3.52 — that's the biggest BPB-weight regime. t=0.3 recovered (2.14→1.88) due to stratum density shifting downward, but the t=0.5 weight dominates the integrated BPB. T_MAX sweet spot is 0.55. Revert.
h100proxy-matrixlr0025-8400s	1.3302	worse	6L/768d SP16384 + full prior stack (T_MIN=0.35, T_MAX=0.55) + MATRIX_LR 0.02→0.025. 8400s 2xRTX5080, 4334 steps. Per-t: t0.05=1.16 | t0.1=1.50 | t0.2=1.68 | t0.3=2.15 | t0.5=3.49 | t0.7=5.62 | t0.9=7.21 | final_smooth_loss 0.4389 (HIGHER than 0.4332 at LR=0.020 — overshooting, not a fit/generalize tradeoff). +0.0054 BPB vs best 1.3248. Mid-high t (t=0.5, 0.7) got slightly worse, low-t got slightly better. Net regression. MATRIX_LR=0.020 already well-tuned for current Newton-Schulz orthogonalization. Revert.
h100proxy-sc-cadence2-8400s	1.3270	noise	6L/768d SP16384 + full prior stack + SC_CADENCE 3→2 (sc fires every other step instead of 1-in-3). 8400s 2xRTX5080, 4138 steps (-4.5% throughput as predicted from extra teacher fwds). Per-t: t0.05=0.84 | t0.1=1.50 | t0.2=1.67 | t0.3=2.07 | t0.5=3.56 | t0.7=5.53 | t0.9=7.09 | final_smooth_loss 0.4372. +0.0022 BPB vs best 1.3248. Per-t pattern: most regimes improved (mid-low t, high-t), but t=0.5 regressed (3.41→3.56) and BPB-weight there dominates. SC sweet spot is cadence 3. Revert. SC density doubling didn't deliver enough additional BPB benefit to offset the step-count loss; the marginal value of extra SC at this convergence point is below the marginal value of an extra student step.
h100proxy-warmdown020-8400s	1.3223	best-proxy	6L/768d SP16384 + full prior stack + WARMDOWN_FRAC 0.15→0.20 (LR linearly decays over last 20% of training time vs 15%). 8400s 2xRTX5080, 4335 steps (flat — schedule change doesn't affect throughput). Per-t: t0.05=1.62 | t0.1=1.42 | t0.2=1.79 | t0.3=2.11 | t0.5=3.42 | t0.7=5.52 | t0.9=7.17 | final_smooth_loss 0.4329 (essentially same as 0.4332 at 0.15 — fit unchanged). -0.0025 BPB vs prior best 1.3248. Tiny improvements across all per-t levels — generalization benefit from longer low-LR fine-tuning at end of training. Try 0.25 next.
h100proxy-warmdown025-8400s	1.3269	worse	6L/768d SP16384 + full prior stack + WARMDOWN_FRAC 0.20→0.25. 8400s 2xRTX5080, 4336 steps. Per-t: t0.05=1.44 | t0.1=1.31 | t0.2=1.58 | t0.3=2.16 | t0.5=3.54 | t0.7=5.54 | t0.9=7.13 | final_smooth_loss 0.4323 (lowest training loss yet). +0.0046 BPB vs best 1.3223. Classic over-warmdown failure mode: low-t/early-t got BETTER (more low-LR fine-tuning helps trunk for low-mask regimes), mid-t REGRESSED (t=0.5 3.42→3.54, biggest BPB weight) — model overfit to training distribution. WARMDOWN sweet spot is 0.20. Revert.
h100proxy-momentum097-8400s	1.3313	worse	6L/768d SP16384 + full prior stack + MUON_MOMENTUM 0.95→0.97 (smoother updates). 8400s 2xRTX5080, 4336 steps. Per-t: t0.05=1.41 | t0.1=1.37 | t0.2=1.55 | t0.3=2.20 | t0.5=3.57 | t0.7=5.55 | t0.9=7.24 | final_smooth_loss 0.4330. +0.0090 BPB vs best 1.3223. Same failure pattern as over-warmdown: low-t improved (smoother updates better at well-conditioned low-mask regime), mid-t regressed (t=0.3 2.11→2.20, t=0.5 3.42→3.57). Higher momentum biases the optimizer toward easier regimes; mid-t needs more responsive updates to track its harder loss landscape. MUON_MOMENTUM=0.95 well-tuned. Revert.
h100proxy-strata16-8400s	1.3271	worse	6L/768d SP16384 + full prior stack + _N_STRATA 8→16 (finer alpha-uniform stratification). 8400s 2xRTX5080, 4336 steps (flat — sampler change only). Per-t: t0.05=1.28 | t0.1=1.33 | t0.2=1.63 | t0.3=2.19 | t0.5=3.54 | t0.7=5.55 | t0.9=7.11 | final_smooth_loss 0.4312 (lowest training loss yet, similar to over-warmdown). +0.0048 BPB. THIRD INSTANCE of the same failure pattern (over-warmdown 0.25, momentum 0.97, strata 16): low-t fits better, mid-t regresses, training loss gets lower but val BPB worse. META-FINDING: smoother training (less variance in t-sampling, smoother updates, longer fine-tuning) consistently biases the model toward easier regimes at the expense of mid-t. At our step-starved regime, NOISIER training is needed to keep pressure on hard regimes, not smoother. _N_STRATA=8 is correct. Revert. Single-knob optimizer/sampler/schedule tuning is now exhausted.
